Nom_activité,Description
"Yoga","Pratique physique et spirituelle visant à améliorer la flexibilité, la force et la relaxation mentale."
"Musculation","Exercices de résistance visant à développer la masse musculaire, la force et l'endurance."
"Cardio","Activité physique qui stimule le système cardiovasculaire, incluant la course, le vélo et la natation."
"Pilates","Méthode d'exercices centrée sur le renforcement des muscles profonds, la posture et la flexibilité."
"Zumba","Danse fitness sur des musiques latines et internationales pour améliorer la condition physique de manière ludique."
"CrossFit","Programme de conditionnement physique combinant l'haltérophilie, la gymnastique et des exercices cardiovasculaires."
"Boxe fitness","Entraînement inspiré de la boxe, adapté pour la condition physique, sans combat direct."
"Spinning","Entraînement intensif sur vélo fixe, visant à améliorer la force et la capacité cardiovasculaire."
"Aérobic","Entraînement rythmé et dynamique pour améliorer l'endurance et la coordination."
"Body Pump","Cours de musculation en groupe utilisant des poids légers pour tonifier et renforcer les muscles."
"Stretching","Séances d'étirements pour améliorer la flexibilité musculaire et prévenir les blessures."
